,brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
613411,33968.0,for_sale,99000.0,1.0,1.0,5.0,49388.0,Terlingua,Texas,79852.0,600.0,
656455,88188.0,for_sale,58800.0,,,1.0,841041.0,Orange,Texas,77632.0,,
656456,88188.0,for_sale,58800.0,,,1.0,844563.0,Orange,Texas,77632.0,,
656457,88188.0,for_sale,58800.0,,,1.0,845421.0,Orange,Texas,77632.0,,
656458,88188.0,for_sale,58800.0,,,1.0,859147.0,Orange,Texas,77632.0,,
656459,88188.0,for_sale,58800.0,,,1.0,831732.0,Orange,Texas,77632.0,,
656461,88188.0,for_sale,58800.0,,,1.04,857673.0,Orange,Texas,77632.0,,
803463,27052.0,for_sale,477385.0,4.0,3.0,,462271.0,Iowa Colony,Texas,77583.0,2300.0,
914312,72973.0,for_sale,55000.0,,,1.7,1566056.0,Camp Wood,Texas,78833.0,,
941501,99668.0,for_sale,208000.0,4.0,2.0,1.07,745553.0,Stanton,Texas,79782.0,1460.0,
966355,21946.0,for_sale,259900.0,2.0,1.0,0.23,1412473.0,Burkeville,Texas,75932.0,750.0,
966357,4317.0,for_sale,144900.0,2.0,1.0,,1261192.0,Hemphill,Texas,75948.0,884.0,
966359,1265.0,for_sale,59900.0,3.0,2.0,,753779.0,Hemphill,Texas,75948.0,1216.0,
966361,58650.0,for_sale,179000.0,3.0,2.0,3.61,228747.0,Burkeville,Texas,75932.0,1956.0,
966362,81697.0,for_sale,95000.0,2.0,2.0,3.28,1610510.0,Kirbyville,Texas,75956.0,784.0,
966364,40236.0,for_sale,205000.0,3.0,3.0,,1485181.0,Newton,Texas,75966.0,2326.0,
966369,19102.0,for_sale,349000.0,6.0,5.0,4.41,307382.0,Newton,Texas,75966.0,5888.0,
966371,93123.0,for_sale,299500.0,3.0,4.0,6.46,773833.0,Newton,Texas,75966.0,3804.0,
966376,22959.0,for_sale,349000.0,6.0,5.0,4.41,307395.0,Newton,Texas,75966.0,5888.0,6/17/2014
966379,106174.0,for_sale,249500.0,2.0,2.0,1.19,363547.0,Hemphill,Texas,75948.0,1872.0,4/28/2022
966381,40236.0,for_sale,235000.0,3.0,2.0,,1355201.0,Newton,Texas,75966.0,1978.0,
966385,100787.0,for_sale,230000.0,3.0,2.0,1.28,563621.0,Hemphill,Texas,75948.0,1680.0,
966388,57433.0,for_sale,349000.0,2.0,2.0,0.25,485058.0,Burkeville,Texas,75932.0,1260.0,
966389,4317.0,for_sale,479000.0,5.0,4.0,6.28,840246.0,Newton,Texas,75966.0,4248.0,5/6/2022
966390,106174.0,for_sale,550000.0,3.0,2.0,1.3,1422814.0,Hemphill,Texas,75948.0,1919.0,
966391,106174.0,for_sale,650000.0,3.0,3.0,1.35,1394079.0,Hemphill,Texas,75948.0,2328.0,
966392,100789.0,for_sale,499000.0,4.0,3.0,,230632.0,Burkeville,Texas,75932.0,2320.0,9/26/2022
966505,100789.0,for_sale,179900.0,3.0,2.0,2.23,439804.0,Burkeville,Texas,75932.0,1240.0,1/28/2022
966519,30107.0,for_sale,134900.0,4.0,2.0,0.29,1463813.0,Newton,Texas,75966.0,2010.0,7/29/2021
966524,100790.0,for_sale,119900.0,2.0,1.0,0.28,1349682.0,Hemphill,Texas,75948.0,720.0,
966527,107109.0,for_sale,75000.0,2.0,2.0,0.3,1342161.0,Newton,Texas,75966.0,1174.0,2/25/2022
966528,80911.0,for_sale,183500.0,3.0,2.0,,937100.0,Newton,Texas,75966.0,1644.0,
966530,80911.0,for_sale,18000.0,,,0.53,465352.0,Hemphill,Texas,75948.0,,
966534,22611.0,for_sale,349000.0,4.0,3.0,2.75,1396445.0,Kirbyville,Texas,75956.0,3504.0,
966536,98774.0,for_sale,420000.0,3.0,2.0,80.4,999549.0,Newton,Texas,75966.0,1891.0,
966538,81575.0,for_sale,499000.0,3.0,2.0,,783669.0,Burkeville,Texas,75932.0,1687.0,
966541,100787.0,for_sale,650000.0,4.0,3.0,2.73,761390.0,Hemphill,Texas,75948.0,3280.0,
966543,81575.0,for_sale,275000.0,,,40.25,1591426.0,Pvt 7135,Texas,75932.0,,
966544,16829.0,for_sale,140000.0,,,18.86,1803125.0,Newton,Texas,75966.0,,
966545,109950.0,for_sale,169000.0,,,0.56,1347562.0,Hemphill,Texas,75948.0,,
966556,1265.0,for_sale,199000.0,2.0,2.0,1.11,518161.0,Hemphill,Texas,75948.0,1295.0,5/20/2022
966560,58650.0,for_sale,62900.0,2.0,1.0,,452536.0,Newton,Texas,75966.0,960.0,5/5/2022
966562,80911.0,for_sale,238000.0,4.0,2.0,3.75,567000.0,Newton,Texas,75966.0,1468.0,
966585,109950.0,for_sale,89000.0,,,,118428.0,Burkeville,Texas,75932.0,,
966586,47849.0,for_sale,603000.0,,,201.0,1375858.0,Burkeville,Texas,75932.0,,
966594,80911.0,for_sale,210000.0,2.0,1.0,17.62,1292266.0,Newton,Texas,75956.0,1067.0,
966595,107109.0,for_sale,225000.0,4.0,2.0,0.26,1389065.0,Hemphill,Texas,75948.0,1768.0,
966599,80911.0,for_sale,63000.0,,,5.31,864841.0,Burkeville,Texas,75932.0,,
966601,93123.0,for_sale,185000.0,3.0,1.0,19.28,410742.0,Burkeville,Texas,75932.0,1480.0,4/13/2022
966602,106174.0,for_sale,56000.0,1.0,1.0,,511989.0,Hemphill,Texas,75948.0,336.0,4/21/2022
966607,80911.0,for_sale,60000.0,,,5.0,1090121.0,Burkeville,Texas,75932.0,,
966609,51514.0,for_sale,140000.0,4.0,2.0,,1583614.0,Newton,Texas,75966.0,1374.0,
966613,19187.0,for_sale,469700.0,3.0,2.0,27.12,415658.0,Kirbyville,Texas,75956.0,1536.0,
966616,100790.0,for_sale,212000.0,3.0,2.0,0.89,1352582.0,Hemphill,Texas,75948.0,1216.0,4/19/2022
966617,80911.0,for_sale,80000.0,,,,1099899.0,Burkeville,Texas,75932.0,,
966618,100790.0,for_sale,249000.0,3.0,3.0,,1028713.0,Burkeville,Texas,75932.0,1170.0,4/22/2022
966619,55737.0,for_sale,15000.0,,,0.51,1907640.0,Hemphill,Texas,75948.0,,
966620,106174.0,for_sale,899000.0,3.0,3.0,0.85,1331444.0,Hemphill,Texas,75948.0,2509.0,
966627,16847.0,for_sale,625000.0,6.0,4.0,23.0,1031444.0,Newton,Texas,75966.0,3166.0,
966628,100790.0,for_sale,499000.0,4.0,3.0,,848779.0,Burkeville,Texas,75932.0,2096.0,4/21/2022
966632,100787.0,for_sale,129500.0,4.0,2.0,0.64,254684.0,Hemphill,Texas,75948.0,2346.0,6/7/2022
966633,4317.0,for_sale,84900.0,2.0,2.0,1.15,604112.0,Hemphill,Texas,75948.0,924.0,
966636,81697.0,for_sale,62000.0,2.0,1.0,0.29,106385.0,Newton,Texas,75966.0,1350.0,
966656,106174.0,for_sale,224000.0,2.0,2.0,0.22,116862.0,Hemphill,Texas,75948.0,1600.0,
966661,106174.0,for_sale,219000.0,2.0,1.0,,1434468.0,Burkeville,Texas,75932.0,672.0,5/5/2022
966954,93123.0,for_sale,350000.0,,,68.66,1985404.0,Kirbyville,Texas,75956.0,,
966959,53439.0,for_sale,10000.0,,,0.8,719644.0,Burkeville,Texas,75932.0,,4/17/2020
967714,1851.0,for_sale,234900.0,3.0,2.0,3.85,1393818.0,Orange,Texas,77632.0,1628.0,
967715,66932.0,for_sale,37000.0,2.0,1.0,0.16,278042.0,Orange,Texas,77630.0,1459.0,10/2/2014
967716,81575.0,for_sale,509000.0,4.0,3.0,3.05,1503115.0,Orange,Texas,77632.0,2552.0,
967717,51514.0,for_sale,55000.0,3.0,1.0,,441542.0,Orange,Texas,77630.0,1394.0,8/29/2016
967718,78979.0,for_sale,79500.0,3.0,2.0,0.91,671481.0,Orange,Texas,77632.0,1456.0,
967719,23859.0,for_sale,160000.0,3.0,2.0,0.56,717898.0,Orange,Texas,77632.0,1831.0,
967720,64633.0,for_sale,89000.0,2.0,1.0,0.32,493132.0,Orange,Texas,77630.0,840.0,
967722,84346.0,for_sale,84900.0,3.0,2.0,,1683229.0,Orange,Texas,77630.0,2180.0,2/24/2012
967723,81575.0,for_sale,129900.0,3.0,2.0,,578497.0,Orange,Texas,77632.0,1207.0,2/16/2009
967724,22960.0,for_sale,229900.0,3.0,2.0,0.35,1541242.0,Orange,Texas,77632.0,2015.0,3/18/2013
967725,48623.0,for_sale,165900.0,3.0,2.0,,1287515.0,Orange,Texas,77632.0,1134.0,3/19/2007
967726,1554.0,for_sale,125000.0,3.0,2.0,0.4,1797902.0,Orange,Texas,77630.0,1216.0,
967728,48623.0,for_sale,299000.0,3.0,3.0,1.0,746941.0,Orange,Texas,77632.0,1816.0,4/18/2016
967729,24643.0,for_sale,310000.0,4.0,2.0,0.33,901356.0,Orange,Texas,77632.0,2297.0,
967730,1554.0,for_sale,206900.0,3.0,2.0,,802808.0,Orange,Texas,77630.0,1799.0,4/13/2011
967731,81575.0,for_sale,425000.0,4.0,4.0,0.66,714439.0,Orange,Texas,77632.0,4148.0,3/27/2020
967732,388.0,for_sale,229900.0,4.0,2.0,0.22,609808.0,Orange,Texas,77632.0,1806.0,9/17/2012
967733,81575.0,for_sale,460000.0,4.0,3.0,2.0,110331.0,Orange,Texas,77632.0,3789.0,
967734,24643.0,for_sale,224900.0,4.0,2.0,0.37,821524.0,Orange,Texas,77630.0,2157.0,4/22/2021
967735,48623.0,for_sale,270000.0,4.0,2.0,2.71,971860.0,Orange,Texas,77632.0,2000.0,
967736,388.0,for_sale,539900.0,4.0,5.0,0.5,1020325.0,Orange,Texas,77632.0,3478.0,7/6/2012
967738,53283.0,for_sale,349135.0,4.0,2.0,0.32,883881.0,Orange,Texas,77632.0,2036.0,
967739,53283.0,for_sale,344165.0,4.0,3.0,0.17,856389.0,Orange,Texas,77632.0,2042.0,
967740,53283.0,for_sale,366825.0,4.0,2.0,0.3,940488.0,Orange,Texas,77632.0,2314.0,
967743,53573.0,for_sale,136000.0,2.0,1.0,6.0,541249.0,Kirbyville,Texas,75956.0,1019.0,
967744,48625.0,for_sale,152500.0,3.0,2.0,2.14,498767.0,Kirbyville,Texas,75956.0,1260.0,
967745,48623.0,for_sale,125000.0,2.0,2.0,0.17,1152404.0,Port Arthur,Texas,77642.0,1754.0,
967746,81575.0,for_sale,135000.0,3.0,2.0,2.92,479157.0,Vidor,Texas,77662.0,1368.0,
967747,388.0,for_sale,169900.0,3.0,1.0,0.25,1443794.0,Orange,Texas,77632.0,1456.0,
967748,78979.0,for_sale,415000.0,4.0,4.0,0.86,1246597.0,Vidor,Texas,77662.0,3341.0,8/13/2012
967749,53573.0,for_sale,260000.0,3.0,2.0,0.34,1305710.0,Groves,Texas,77619.0,2087.0,
967750,14924.0,for_sale,130000.0,3.0,1.0,0.32,853161.0,Groves,Texas,77619.0,1144.0,
967751,4990.0,for_sale,380000.0,4.0,4.0,0.5,1752785.0,Orange,Texas,77630.0,2662.0,6/9/2015
967752,46319.0,for_sale,140000.0,,,0.95,1257420.0,Orange,Texas,77630.0,840.0,
967753,48623.0,for_sale,234000.0,3.0,2.0,0.5,894895.0,Vidor,Texas,77662.0,1874.0,5/6/2019
967754,78911.0,for_sale,354900.0,3.0,2.0,0.16,878109.0,Groves,Texas,77619.0,2258.0,
967755,48622.0,for_sale,279900.0,3.0,2.0,0.4,1239317.0,Port Arthur,Texas,77642.0,2956.0,
967756,24643.0,for_sale,79000.0,2.0,2.0,,451394.0,West Orange,Texas,77630.0,1226.0,
967757,81575.0,for_sale,125000.0,3.0,2.0,0.2,333517.0,Bridge City,Texas,77611.0,988.0,2/10/2011
967758,24643.0,for_sale,457000.0,5.0,4.0,0.55,704451.0,Bridge City,Texas,77611.0,3512.0,
967759,23677.0,for_sale,42000.0,,1.0,0.16,1348547.0,Port Arthur,Texas,77642.0,1540.0,
967760,48623.0,for_sale,110000.0,2.0,1.0,5.0,1306645.0,Kirbyville,Texas,75956.0,1000.0,
967803,88188.0,for_sale,17000.0,,,0.82,243755.0,Deweyville,Texas,77632.0,,
967804,81575.0,for_sale,289900.0,,,3.49,869922.0,Orange,Texas,77632.0,,
967805,78911.0,for_sale,1200000.0,,,8.9,1239967.0,Orange,Texas,77630.0,,
967806,97957.0,for_sale,15000.0,,,1.17,701807.0,Vidor,Texas,77662.0,,
967807,81575.0,for_sale,299000.0,,,35.0,1230701.0,Bridge City,Texas,77611.0,,
967809,22960.0,for_sale,90000.0,,,27.25,1893028.0,Newton,Texas,75966.0,,
967810,1851.0,for_sale,21500.0,,,0.5,287083.0,Orange,Texas,77632.0,,
967811,82839.0,for_sale,22000.0,,,0.52,1757395.0,Orange,Texas,77630.0,,
967812,35608.0,for_sale,280224.0,,,6.37,754518.0,Vidor,Texas,77662.0,,4/21/2020
967813,81575.0,for_sale,250000.0,,,2.34,1892660.0,Orange,Texas,77630.0,,
967819,24643.0,for_sale,49900.0,,,,218056.0,Orange,Texas,77632.0,,
967825,97366.0,for_sale,69900.0,,,0.58,1874890.0,Groves,Texas,77619.0,,
967826,81575.0,for_sale,1700000.0,,,40.0,850050.0,Orange,Texas,77632.0,,
967827,81575.0,for_sale,1500000.0,,,47.65,1592613.0,Orange,Texas,77630.0,,
967828,24643.0,for_sale,3897700.0,,,239.0,1557818.0,Orange,Texas,77630.0,,
967829,48624.0,for_sale,94000.0,3.0,2.0,,1345280.0,Port Arthur,Texas,77642.0,1492.0,
967830,25887.0,for_sale,267990.0,3.0,2.0,,1073448.0,Bridge City,Texas,77611.0,1433.0,
967831,25887.0,for_sale,290990.0,4.0,2.0,,1034843.0,Bridge City,Texas,77611.0,1750.0,
967832,23859.0,for_sale,127500.0,,,10.25,262637.0,Orange,Texas,77632.0,,
967833,81575.0,for_sale,139900.0,,,11.8,1681248.0,Orange,Texas,77632.0,,
967835,23859.0,for_sale,139000.0,,,1.66,1135803.0,Groves,Texas,77619.0,,
967836,19903.0,for_sale,20000.0,,,1.69,2000048.0,Orange,Texas,77632.0,,
967837,81575.0,for_sale,200000.0,,,3.48,918076.0,Port Arthur,Texas,77642.0,,
967838,81575.0,for_sale,149900.0,,,3.73,1894234.0,Orange,Texas,77632.0,,
967839,34119.0,for_sale,12900.0,,,0.96,1436976.0,Orange,Texas,77632.0,,
967840,73709.0,for_sale,19500.0,,,2.21,1919544.0,Buna,Texas,77612.0,,
967841,22960.0,for_sale,49995.0,,,2.4,796871.0,Orange,Texas,77632.0,,7/16/2015
967842,19903.0,for_sale,25000.0,,,2.19,2000047.0,Orange,Texas,77632.0,,
967843,72278.0,for_sale,134800.0,,,4.0,443241.0,Vidor,Texas,77662.0,,
967844,19903.0,for_sale,25000.0,,,1.37,1894237.0,Orange,Texas,77632.0,,
967845,19903.0,for_sale,20000.0,,,1.11,1894241.0,Orange,Texas,77632.0,,
967846,19903.0,for_sale,20000.0,,,1.11,1894245.0,Orange,Texas,77632.0,,
967847,19903.0,for_sale,20000.0,,,1.11,1894243.0,Orange,Texas,77632.0,,
967848,19903.0,for_sale,20000.0,,,1.11,1894242.0,Orange,Texas,77632.0,,
967849,19903.0,for_sale,20000.0,,,1.11,1894246.0,Orange,Texas,77632.0,,
967850,19903.0,for_sale,20000.0,,,1.11,1894244.0,Orange,Texas,77632.0,,
967852,24645.0,for_sale,240000.0,,,40.0,1881665.0,Bon Wier,Texas,75928.0,,
967853,34119.0,for_sale,62000.0,,,2.1,1881670.0,Orange,Texas,77632.0,,
967855,19903.0,for_sale,30000.0,,,1.55,1894238.0,Orange,Texas,77632.0,,
967856,19903.0,for_sale,30000.0,,,1.69,1894239.0,Orange,Texas,77632.0,,
967857,19903.0,for_sale,33000.0,,,1.82,1894240.0,Orange,Texas,77632.0,,
967858,81575.0,for_sale,79900.0,,,0.89,1861656.0,Bridge City,Texas,77611.0,,
967859,24643.0,for_sale,20000.0,,,0.41,1286535.0,Bridge City,Texas,77611.0,,
967861,35608.0,for_sale,25000.0,,,0.7,1410164.0,Vidor,Texas,77662.0,,
967863,88188.0,for_sale,299900.0,,,1.48,1151529.0,Port Neches,Texas,77651.0,,
967866,88760.0,for_sale,149900.0,4.0,2.0,0.83,1588175.0,Vidor,Texas,77662.0,1980.0,
967867,48625.0,for_sale,159900.0,3.0,2.0,0.25,963858.0,Groves,Texas,77619.0,1607.0,
967868,19188.0,for_sale,45000.0,,,3.34,1860281.0,Orange,Texas,77630.0,,
967869,4990.0,for_sale,374900.0,4.0,3.0,0.25,1527526.0,Groves,Texas,77619.0,2314.0,
967871,81575.0,for_sale,20000.0,,,,1877829.0,Orange,Texas,77632.0,,
967872,81575.0,for_sale,315000.0,,,31.94,783187.0,Buna,Texas,77612.0,,
967873,88188.0,for_sale,42000.0,,,1.05,845920.0,Orange,Texas,77632.0,,
